datetime,anomaly,uncert
1874-05-01 00:00:00,-0.317,0.211
1874-06-01 00:00:00,-0.472,0.185
1874-07-01 00:00:00,-0.26,0.192
1874-08-01 00:00:00,-0.25,0.204
1874-09-01 00:00:00,-0.196,0.188
1874-10-01 00:00:00,-0.391,0.226
1874-11-01 00:00:00,-0.427,0.189
1874-12-01 00:00:00,-0.292,0.216
1875-01-01 00:00:00,-0.522,0.236
1875-02-01 00:00:00,-0.469,0.264
1875-03-01 00:00:00,-0.478,0.208
1875-04-01 00:00:00,-0.4,0.194
1875-05-01 00:00:00,-0.328,0.19
1875-06-01 00:00:00,-0.354,0.202
1875-07-01 00:00:00,-0.308,0.191
1875-08-01 00:00:00,-0.28,0.19
1875-09-01 00:00:00,-0.308,0.175
1875-10-01 00:00:00,-0.297,0.18
1875-11-01 00:00:00,-0.577,0.201
1875-12-01 00:00:00,-0.53,0.205
1876-01-01 00:00:00,-0.461,0.221
1876-02-01 00:00:00,-0.334,0.208
1876-03-01 00:00:00,-0.39,0.243
1876-04-01 00:00:00,-0.379,0.212
1876-05-01 00:00:00,-0.54,0.186
1876-06-01 00:00:00,-0.414,0.16
1876-07-01 00:00:00,-0.152,0.169
1876-08-01 00:00:00,-0.337,0.2
1876-09-01 00:00:00,-0.438,0.206
1876-10-01 00:00:00,-0.352,0.171
1876-11-01 00:00:00,-0.547,0.224
1876-12-01 00:00:00,-0.588,0.196
1877-01-01 00:00:00,-0.241,0.245
1877-02-01 00:00:00,-0.091,0.232
1877-03-01 00:00:00,0.022,0.19
1877-04-01 00:00:00,-0.178,0.194
1877-05-01 00:00:00,-0.208,0.183
1877-06-01 00:00:00,-0.101,0.265
1877-07-01 00:00:00,0.023,0.183
1877-08-01 00:00:00,0.187,0.208
1877-09-01 00:00:00,0.113,0.187
1877-10-01 00:00:00,0.143,0.173
1877-11-01 00:00:00,0.147,0.193
1877-12-01 00:00:00,-0.057,0.226
1878-01-01 00:00:00,-0.015,0.227
1878-02-01 00:00:00,0.358,0.25
1878-03-01 00:00:00,0.492,0.204
1878-04-01 00:00:00,0.299,0.195
1878-05-01 00:00:00,-0.084,0.189
1878-06-01 00:00:00,0.024,0.168
1878-07-01 00:00:00,0.067,0.195
